[27May2026 11:28:30.401] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Red_Fog, --version, 1.21.1, --gameDir, C:/Users/grant/AppData/Roaming/PrismLauncher/instances/Journey High Tides/minecraft, --assetsDir, C:/Users/grant/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, 246ce462051b443699b3d8f08edb935d, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.225, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[27May2026 11:28:30.406] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[27May2026 11:28:30.407] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Windows 11 arch amd64 version 10.0
[27May2026 11:28:31.622] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[27May2026 11:28:31.715] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[27May2026 11:28:32.010] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[27May2026 11:28:32.146] [main/WARN] [CrashAssistantJarInJarHelper/]: Stream injection failed; legacy loggers may retain blocking behavior.
[27May2026 11:28:32.148] [main/INFO] [CrashAssistantJarInJarHelper/]: Launching CrashAssistantApp (CrashAssistant-neoforge-1.20.6-1.21.4-1.11.8.jar)
[27May2026 11:28:32.416] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3080/PCIe/SSE2 GL version 4.6.0 NVIDIA 596.49, NVIDIA Corporation
[27May2026 11:28:33.796] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "botanytrees-neoforge-1.21.1-21.1.3.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.808] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BrandonsCore-1.21.1-3.2.1.309.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.812] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bwncr-neoforge-1.21.1-3.20.4.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.816] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "c2me-neoforge-mc1.21.1-0.3.0+alpha.0.91.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.821] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "caelus-neoforge-7.0.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.824] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chloride-NEOFORGE-mc1.21.1-v1.7.5.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.828] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chococraft-1.21.1-neoforge-0.11.12.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.835] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "citadel-2.7.0-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.839] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.843] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Clumps-neoforge-1.21.1-19.0.0.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.852] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CodeChickenLib-1.21.1-4.6.1.526.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.858] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "collective-1.21.1-8.22.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.861] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comforts-neoforge-9.0.5+1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.866] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "common-networking-neoforge-1.0.21-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.870] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "configurable-3.4.0+1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.876] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "configured-neoforge-1.21.1-2.6.3.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.882] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "connectivity-1.21.1-7.6.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.886] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Continents_26.1_v1.1.13.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.891] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-neoforge-1.21.1-19.0.5.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.896] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copycats-3.0.4+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.901] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "corail_woodcutter-neoforge-1.21.1-3.4.2.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.906] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Corgilib-NeoForge-1.21.1-5.0.0.9.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.916] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.21.1-6.0.10.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.921] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-bundled-1.21.1-1.2.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.925] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-dyn-light-forge-1.21.1-2.0.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.930] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-enchantment-industry-2.3.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.934] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-stuff-additions1.21.1_v2.1.0e.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.939] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_blazing_hot-0.7.4+neoforge-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.943] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_compatible_storage-2.11.0-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
